,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,wheel_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,brand_honda,brand_toyota,model_amaze,model_city,model_fortuner,model_jazz,engine_type_diesel,engine_type_petrol
0,10000,11400,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
1,10000,11453,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
2,10000,10706,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
3,10000,11015,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
4,10000,10039,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
5,10000,10348,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
6,10000,10936,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
7,10000,10355,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
8,10000,11028,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
9,10000,10843,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
10,10000,10686,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
11,10000,10573,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
12,10000,10992,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
13,10000,10376,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
14,10000,11009,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
15,10000,10048,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
16,10000,10623,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
17,10000,10832,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
18,10000,11034,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
19,10000,10228,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
20,20000,20679,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
21,20000,20797,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
22,20000,19646,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
23,20000,20566,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
24,20000,20478,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
